Reward,No cash trade,No stock trade,Net worth end game,Stop day
0.2497711181640625,0,1,200.24977111816406,7.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
7.778049468994141,1,0,207.77804946899414,16.0
5.543941497802763,1,0,205.54394149780276,18.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
13.391368865966797,0,1,213.3913688659668,37.0
3.5177879333496094,0,1,203.5177879333496,15.0
0.0,0,1,200.0,1.0
0.36772918701171875,0,1,200.36772918701172,9.0
0.2914161682128906,0,1,200.2914161682129,3.0
0.2914161682128906,0,1,200.2914161682129,3.0
5.668659210205078,1,0,205.66865921020508,12.0
10.844913482666016,0,1,210.84491348266602,55.0
6.848262786865234,1,0,206.84826278686523,16.0
2.3105125427246094,0,1,202.3105125427246,15.0
1.3877639770507812,0,1,201.38776397705078,17.0
0.3885536193847656,0,1,200.38855361938477,5.0
0.0,0,1,200.0,1.0
0.25672149658203125,0,1,200.25672149658203,9.0
0.2497711181640625,0,1,200.24977111816406,7.0
0.4995613098144531,0,1,200.49956130981445,5.0
9.582145690917969,0,1,209.58214569091797,23.0
0.0,0,1,200.0,1.0
9.90121078491211,0,1,209.9012107849121,57.0
2.206462860107422,0,1,202.20646286010742,11.0
3.247272491455078,0,1,203.24727249145508,21.0
0.0,0,1,200.0,1.0
0.0554962158203125,0,1,200.0554962158203,7.0
8.166633605957031,0,1,208.16663360595703,49.0
6.681850433349609,0,1,206.6818504333496,25.0
9.262886047363281,0,1,209.26288604736328,49.0
11.337554931640625,0,1,211.33755493164062,31.0
9.82501220703125,0,1,209.82501220703125,31.0
9.602928161621094,0,1,209.6029281616211,35.0
8.721710205078125,0,1,208.72171020507812,59.0
7.299282073974609,0,1,207.2992820739746,37.0
5.856101989746094,0,1,205.8561019897461,17.0
8.777217864990234,0,1,208.77721786499023,57.0
