Reward,No cash trade,No stock trade,Net worth end game
-844.2862091064453,0,77,210.7137908935547
-275.62788009643555,3,6,209.37211990356442
-276.7508201599121,1,11,208.2491798400879
-294.67142486572266,5,11,210.32857513427734
-229.60280990600586,4,12,210.39719009399414
-248.34436416625974,2,11,211.65563583374026
-279.8578987121582,2,10,210.1421012878418
-256.2629928588867,4,9,208.73700714111328
-230.92156219482422,4,5,209.07843780517578
-148.1896629333496,1,5,216.8103370666504
-259.2295951843262,4,1,210.77040481567383
-206.8587341308594,2,6,218.1412658691406
-246.40281677246094,5,3,213.59718322753906
-245.31937789916992,2,3,219.68062210083008
-320.0430335998535,5,2,214.95696640014648
-262.1557426452637,1,4,207.84425735473633
-211.9819221496582,3,0,213.0180778503418
-167.78368377685547,1,2,207.21631622314453
-249.3600311279297,2,5,210.6399688720703
-191.1543350219727,1,1,203.8456649780273
-203.21136093139646,3,3,206.78863906860354
-247.51036453247067,4,5,207.48963546752933
-198.6535186767578,6,4,206.3464813232422
-239.64801788330078,5,0,220.35198211669922
-168.55630111694336,3,3,216.44369888305664
-236.1116714477539,4,2,218.8883285522461
-234.66503143310547,3,0,210.33496856689453
-163.97117233276367,0,1,206.02882766723633
-185.9950256347656,7,1,214.0049743652344
-228.71438980102542,2,2,206.28561019897458
-244.42935562133786,4,0,215.57064437866214
-237.2896347045899,5,1,207.7103652954101
-153.13798141479492,2,4,206.86201858520508
-224.12888717651367,3,3,210.87111282348633
-230.74882507324224,4,3,209.25117492675776
-269.21306228637695,6,1,210.78693771362305
-213.69495010375974,7,0,206.30504989624026
-205.97505569458005,7,4,204.02494430541995
-242.7303962707519,8,0,212.2696037292481
-231.51565933227536,4,1,208.48434066772464
-181.15198135375982,3,0,213.84801864624018
-259.691780090332,7,1,210.30821990966803
-223.27007675170898,6,0,226.72992324829102
-266.7089538574218,7,0,213.29104614257818
-173.46596145629883,6,1,216.53403854370117
-248.7343711853027,7,0,216.2656288146973
-223.4323692321777,10,3,216.5676307678223
-222.02577972412112,10,2,212.97422027587888
-255.7941131591797,8,0,219.20588684082034
-214.36614608764643,7,0,210.63385391235357
-215.6186027526856,10,0,219.3813972473144
-215.17755508422846,7,2,209.82244491577154
-273.81348037719727,14,4,206.18651962280273
-234.1967086791992,11,1,215.8032913208008
-195.00158309936523,9,2,219.99841690063477
-178.1601219177246,5,0,216.8398780822754
-205.68124771118175,7,0,219.31875228881825
-216.31509780883786,10,3,218.68490219116214
-254.51778411865237,11,0,215.48221588134763
-217.77662658691412,10,3,212.22337341308588
-209.0858573913574,4,0,210.9141426086426
-299.3892822265626,16,7,210.61071777343744
-228.39112472534177,2,2,221.60887527465823
-254.0664672851563,9,6,215.9335327148437
-209.95510101318362,13,0,225.04489898681638
-212.67523193359372,8,0,227.32476806640628
-241.20176696777338,11,2,218.79823303222662
-244.8132286071777,4,1,210.1867713928223
-271.1699028015137,13,1,218.8300971984863
-285.7189636230469,14,1,214.28103637695312
-321.5258102416992,14,0,218.4741897583008
-239.76145553588867,15,1,215.23854446411133
-291.06171798706055,18,0,213.9382820129395
-261.89128494262695,10,0,223.10871505737305
-251.95475006103516,13,0,213.04524993896484
-202.90625381469727,8,0,217.09374618530273
-293.5984230041504,11,2,221.40157699584958
-211.77167129516602,10,1,228.22832870483398
-240.33740615844727,17,0,224.66259384155273
-311.802677154541,22,1,213.19732284545898
-317.16111373901373,14,0,217.83888626098627
-221.63162612915042,16,0,223.36837387084958
-220.32166290283206,11,0,224.67833709716794
-243.20479583740234,12,1,221.79520416259766
-252.07245254516596,12,1,217.92754745483404
-268.4445686340333,16,0,226.55543136596674
-290.6231575012207,17,0,219.3768424987793
-239.79928970336914,10,0,220.20071029663086
-234.37955856323245,13,0,220.62044143676755
-250.23611450195304,9,0,219.76388549804696
-227.98715209960943,18,1,227.01284790039057
-274.0981140136719,9,2,225.9018859863281
-267.9723434448242,8,1,227.02765655517575
-231.79296112060555,11,0,213.20703887939445
-199.30853271484372,11,3,230.69146728515628
-201.25051498413083,8,0,228.74948501586917
-274.1530647277832,18,0,225.8469352722168
-285.6806793212892,13,0,219.31932067871082
-222.00049972534183,17,0,222.99950027465817
-277.44013595581055,13,0,217.55986404418945
