Reward,No cash trade,No stock trade,Net worth end game,Stop day
7.403392791748047,1,0,207.40339279174805,42.0
0.3469200134277344,0,1,200.34692001342773,4.0
8.284610748290987,1,0,208.284610748291,33.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,2.0
0.020809173583984375,0,1,200.02080917358398,17.0
0.0,0,1,200.0,7.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,4.0
0.0,0,1,200.0,1.0
5.606513977050781,1,0,205.60651397705078,61.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,8.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,5.0
0.0,0,1,200.0,1.0
2.922332763671875,0,1,202.92233276367188,74.0
0.0,0,1,200.0,2.0
2.5464515686035156,0,1,202.54645156860352,28.0
2.2550506591796875,0,1,202.2550506591797,66.0
9.325393676757812,0,1,209.3253936767578,29.0
0.14568710327148438,0,1,200.14568710327148,15.0
5.412090301513672,0,1,205.41209030151367,31.0
0.0,0,1,200.0,4.0
-0.8370399475097656,1,0,199.16296005249023,68.0
0.3608131408691406,0,1,200.36081314086914,12.0
7.90301513671875,1,0,207.90301513671875,24.0
0.3469200134277344,0,1,200.34692001342773,4.0
-0.19428634643554688,0,1,199.80571365356445,13.0
2.5533714294433594,0,1,202.55337142944336,16.0
0.0,0,1,200.0,1.0
4.093742370605469,1,0,204.09374237060547,42.0
10.095588684082031,0,1,210.09558868408203,44.0
0.0,0,1,200.0,3.0
1.6444320678710938,0,1,201.6444320678711,22.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,4.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
5.564723968505888,1,0,205.5647239685059,9.0
7.660099029540987,1,0,207.660099029541,28.0
2.60888671875,0,1,202.60888671875,17.0
0.0,0,1,200.0,6.0
9.702625274658203,1,0,209.7026252746582,62.0
0.0,0,1,200.0,1.0
-1.0130348205566406,1,0,198.98696517944336,7.0
5.932365417480469,1,0,205.93236541748047,12.0
6.112796783447266,1,0,206.11279678344727,10.0
-1.6028251647949219,1,0,198.39717483520508,6.0
0.0,0,1,200.0,1.0
4.815311431884766,1,0,204.81531143188477,13.0
7.333919525146484,1,0,207.33391952514648,12.0
0.3469200134277344,0,1,200.34692001342773,4.0
19.018566131591797,1,0,219.0185661315918,27.0
-1.6028251647949219,1,0,198.39717483520508,6.0
-1.6028251647949219,1,0,198.39717483520508,6.0
14.452957153320312,1,0,214.4529571533203,31.0
15.629924774169922,0,1,215.62992477416992,169.0
5.238548278808594,1,0,205.2385482788086,13.0
8.659263610839815,0,1,208.65926361083982,68.0
0.0,0,1,200.0,9.0
4.620765686035156,1,0,204.62076568603516,92.0
6.938495635986328,1,0,206.93849563598633,30.0
0.3885536193847656,0,1,200.38855361938477,5.0
0.2914161682128906,0,1,200.2914161682129,3.0
0.05550384521484375,0,1,200.05550384521484,4.0
15.028823852539062,1,0,215.02882385253906,32.0
16.395671844482422,1,0,216.39567184448242,29.0
0.0,0,1,200.0,1.0
5.800636291503935,1,0,205.80063629150393,9.0
0.2914161682128906,0,1,200.2914161682129,3.0
-1.1101646423339844,1,0,198.88983535766602,7.0
0.0,0,1,200.0,1.0
9.596012115478516,1,0,209.59601211547852,22.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
4.690387725830078,1,0,204.69038772583008,13.0
0.0,0,1,200.0,2.0
12.302047729492188,1,0,212.3020477294922,20.0
0.2914161682128906,0,1,200.2914161682129,3.0
6.293201446533203,1,0,206.2932014465332,13.0
15.320243835449219,1,0,215.32024383544922,32.0
7.556045532226591,1,0,207.5560455322266,11.0
-0.339996337890625,0,1,199.66000366210938,9.0
0.0,0,1,200.0,1.0
16.430431365966797,1,0,216.4304313659668,25.0
11.587329864501953,1,0,211.58732986450195,26.0
15.063533782958956,1,0,215.06353378295896,35.0
0.2497711181640625,0,1,200.24977111816406,8.0
13.322010040283203,1,0,213.3220100402832,22.0
-0.37816619873046875,0,1,199.62183380126953,98.0
3.9983749389648438,0,1,203.99837493896484,137.0
11.96895980834961,1,0,211.9689598083496,36.0
0.0,0,1,200.0,1.0
6.286293029785156,0,1,206.28629302978516,58.0
9.429485321044922,1,0,209.42948532104492,36.0
0.0,0,1,200.0,9.0
6.834445953369141,0,1,206.83444595336914,35.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,9.0
9.262981414794922,1,0,209.26298141479492,43.0
0.097137451171875,0,1,200.09713745117188,6.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,6.0
-0.3469276428222656,0,1,199.65307235717773,8.0
3.0649452209472656,0,1,203.06494522094727,118.0
12.360095977783203,0,1,212.3600959777832,215.0
0.2914161682128906,0,1,200.2914161682129,3.0
7.666984558105469,1,0,207.66698455810547,12.0
0.0,0,1,200.0,1.0
6.237716674804716,1,0,206.23771667480472,11.0
2.2897720336914062,1,0,202.2897720336914,8.0
16.499794006347656,1,0,216.49979400634766,25.0
11.906551361083984,1,0,211.90655136108398,19.0
7.867618560791016,0,1,207.86761856079102,117.0
7.736362457275391,1,0,207.7363624572754,12.0
0.2914161682128906,0,1,200.2914161682129,3.0
13.120811462402344,1,0,213.12081146240234,26.0
13.405193328857422,1,0,213.40519332885742,31.0
2.17181396484375,1,0,202.17181396484375,8.0
15.341144561767578,1,0,215.34114456176758,24.0
9.332355499267607,1,0,209.3323554992676,15.0
7.125759124755859,1,0,207.12575912475586,12.0
15.7574462890625,1,0,215.7574462890625,21.0
