Reward,No cash trade,No stock trade,Net worth end game
29.68366241455078,246,0,229.68366241455078
29.80855941772461,243,0,229.8085594177246
13.742645263671875,52,28,213.74264526367188
46.98783874511713,119,26,246.98783874511713
36.594123840332,209,0,236.594123840332
29.982616424560547,241,0,229.98261642456055
28.221637725830078,232,0,228.22163772583008
9.922954559326172,38,3,209.92295455932617
0.0,0,11,200.0
0.0,0,14,200.0
0.0,0,10,200.0
0.0,0,17,200.0
0.0,0,9,200.0
0.0,0,23,200.0
-0.8828926086425781,0,16,199.11710739135742
0.0,0,12,200.0
0.0,0,9,200.0
0.0,0,13,200.0
0.0,0,12,200.0
0.0,0,23,200.0
0.0,0,80,200.0
0.0,0,228,200.0
0.0,0,241,200.0
0.0,0,226,200.0
0.0,0,227,200.0
0.0,0,229,200.0
0.0,0,242,200.0
0.0,0,225,200.0
0.0,0,230,200.0
2.2481002807617188,0,215,202.24810028076172
0.0,0,247,200.0
0.0,0,249,200.0
0.0,0,246,200.0
0.0,0,251,200.0
0.0,0,251,200.0
0.0,0,9,200.0
0.0,0,0,200.0
0.0,0,0,200.0
0.0,0,0,200.0
-0.14570236206054688,0,184,199.85429763793945
0.5416069030761719,0,183,200.54160690307617
7.936679840087891,1,130,207.9366798400879
8.752643585205078,0,94,208.75264358520508
17.738845825195312,0,59,217.7388458251953
38.24400329589844,40,1,238.24400329589844
39.05608367919922,48,1,239.05608367919922
41.4396858215332,48,1,241.4396858215332
38.940345764160156,39,0,238.94034576416016
36.17655944824219,126,0,236.1765594482422
37.134700775146484,118,18,237.13470077514648
36.96788024902344,102,0,236.96788024902344
38.61181640625,93,1,238.61181640625
36.343406677246094,172,0,236.3434066772461
28.41274642944336,150,0,228.41274642944336
40.915863037109375,107,0,240.91586303710938
39.20207214355469,63,0,239.2020721435547
36.59313201904297,56,0,236.59313201904297
30.1792182922363,58,0,230.1792182922363
36.7110710144043,57,0,236.7110710144043
26.533042907714844,90,0,226.53304290771484
29.759807586669922,77,0,229.75980758666992
30.26641845703122,70,0,230.26641845703122
28.91351318359375,72,0,228.91351318359375
29.24755096435547,84,0,229.24755096435547
29.41286849975586,72,0,229.41286849975586
29.142478942871094,71,0,229.1424789428711
36.19075012207031,56,0,236.1907501220703
29.731613159179688,79,0,229.7316131591797
36.18178176879883,57,0,236.18178176879883
36.28788757324219,80,0,236.2878875732422
29.80855941772461,111,0,229.8085594177246
29.87793731689453,103,0,229.87793731689453
29.961204528808594,89,0,229.9612045288086
30.16934585571289,90,0,230.1693458557129
28.80075454711914,90,0,228.80075454711914
29.85051727294922,98,0,229.85051727294922
29.662830352783203,106,0,229.6628303527832
29.850189208984375,135,0,229.85018920898438
29.68366241455078,160,0,229.68366241455078
29.80855941772461,190,0,229.8085594177246
29.68366241455078,205,0,229.68366241455078
29.68366241455078,225,0,229.68366241455078
29.68366241455078,210,0,229.68366241455078
29.68366241455078,215,0,229.68366241455078
29.85051727294922,214,0,229.85051727294922
29.68366241455078,225,0,229.68366241455078
29.68366241455078,227,0,229.68366241455078
29.68366241455078,227,0,229.68366241455078
29.68366241455078,211,0,229.68366241455078
29.68366241455078,224,0,229.68366241455078
29.68366241455078,221,0,229.68366241455078
29.68366241455078,224,0,229.68366241455078
29.20398712158203,233,0,229.20398712158203
29.68366241455078,234,0,229.68366241455078
29.68366241455078,242,0,229.68366241455078
29.68366241455078,242,0,229.68366241455078
29.68366241455078,239,0,229.68366241455078
29.68366241455078,245,0,229.68366241455078
29.68366241455078,235,0,229.68366241455078
29.68366241455078,239,0,229.68366241455078
