Reward,No cash trade,No stock trade,Net worth end game
-245.91868209838867,12,5,219.08131790161133
-254.77759552001953,5,3,225.22240447998047
-224.77255630493164,4,5,215.22744369506836
-224.60082626342773,8,0,230.39917373657227
-256.5169448852539,1,2,218.4830551147461
-198.843505859375,2,3,206.156494140625
-232.0204086303711,2,5,222.9795913696289
-220.57606506347653,7,1,219.42393493652347
-239.51446914672852,4,2,215.48553085327148
-187.47662353515625,3,3,207.52337646484375
-185.00895309448242,1,4,209.99104690551758
-280.8558921813965,5,3,224.14410781860354
-118.51098632812503,2,0,216.48901367187497
-177.98952865600586,2,1,217.01047134399414
-183.86934280395505,2,1,221.13065719604495
-239.49351119995117,8,1,220.50648880004883
-210.1964263916016,10,1,219.8035736083984
-212.32679748535156,3,1,212.67320251464844
-210.92115020751953,7,1,224.07884979248047
-233.39842224121094,2,0,226.60157775878906
-200.05743789672852,5,0,214.94256210327148
-193.26083374023438,4,2,216.73916625976562
-248.74478149414068,4,3,206.25521850585932
-138.17759323120117,8,1,216.82240676879883
-158.68486404418948,2,1,236.31513595581052
-149.7623748779297,2,1,220.2376251220703
-204.23394393920893,5,1,210.76605606079107
-238.71423339843753,4,0,211.28576660156247
-255.94774627685544,5,1,219.05225372314456
-239.9163589477539,2,1,205.0836410522461
-189.03993988037107,7,0,230.96006011962893
-175.2013626098633,2,1,209.7986373901367
-259.1186141967774,9,4,210.8813858032226
-201.2911262512207,4,1,198.7088737487793
-191.99200439453125,2,2,213.00799560546875
-231.24728012084958,2,3,218.75271987915042
-164.30012512207026,2,0,215.69987487792974
-202.99002075195312,7,0,222.00997924804688
-243.91414642333984,5,1,211.08585357666016
-203.4213409423828,3,0,221.5786590576172
-157.0363578796387,0,2,212.9636421203613
-209.02879714965823,6,2,215.97120285034177
-210.65052795410156,6,1,224.34947204589844
-202.80086898803705,9,0,217.19913101196295
-230.6794662475586,3,2,219.3205337524414
-189.7089080810547,2,1,215.2910919189453
-185.16431427001953,4,1,219.83568572998047
-221.45673751831052,3,4,213.54326248168948
-194.8856086730957,4,0,225.1143913269043
-202.9306449890137,9,0,217.0693550109863
-156.43917846679688,4,0,233.56082153320312
-227.22246932983398,8,0,227.77753067016602
-227.49885177612305,6,2,207.50114822387695
-201.22931289672852,5,2,228.77068710327148
-225.03638458251953,7,2,214.96361541748047
-166.19769668579104,6,0,218.80230331420896
-200.07146835327148,5,1,219.92853164672852
-165.15309143066406,5,1,219.84690856933594
-237.63869476318357,13,0,222.36130523681643
-208.88753509521482,2,0,221.11246490478518
-215.91162109375,9,1,224.08837890625
-139.82891845703128,7,0,230.17108154296872
-173.46804428100586,3,0,216.53195571899414
-229.75995635986328,11,0,220.24004364013672
-189.52847290039065,6,0,225.47152709960935
-196.0669822692871,3,3,213.9330177307129
-187.9872283935547,4,0,222.0127716064453
-217.29729843139646,20,1,227.70270156860354
-225.72744750976568,7,0,224.27255249023432
-177.32390975952148,4,0,237.67609024047852
-243.92615509033206,13,1,226.07384490966794
-220.27574157714844,6,1,214.72425842285156
-239.3482246398926,21,0,230.6517753601074
-209.17483520507815,7,0,215.82516479492185
-232.67435073852536,4,1,237.32564926147464
-207.1397666931153,10,0,212.8602333068847
-218.1248931884766,3,1,236.8751068115234
-298.37818145751953,10,2,206.62181854248047
-176.838005065918,8,0,233.161994934082
-195.822265625,11,0,219.177734375
-246.34766769409185,5,1,218.65233230590815
-157.55328369140622,5,0,222.44671630859378
-211.8188591003418,13,1,228.1811408996582
-151.11938476562503,2,0,243.88061523437497
-257.48804473876953,21,0,227.51195526123044
-231.9505157470703,9,0,223.0494842529297
-239.9182014465332,7,1,220.0817985534668
-183.18547439575195,1,0,216.81452560424805
-205.2751007080078,2,2,214.7248992919922
-250.51081848144528,14,0,234.48918151855472
-162.77053451538086,8,1,227.22946548461914
-208.01862716674808,8,0,216.98137283325192
-242.82313537597656,1,2,212.17686462402344
-288.4294891357422,19,1,226.5705108642578
-188.51585388183594,4,0,216.48414611816406
-151.3323097229004,1,2,218.6676902770996
-174.61224365234375,9,0,225.38775634765625
-137.17598342895508,7,0,232.82401657104492
-158.34759140014648,3,2,236.65240859985352
-165.7727241516113,5,2,214.2272758483887
