Reward,No cash trade,No stock trade,Net worth end game,Stop day
0.0,0,0,200.0,251.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,6.0
0.0,0,1,200.0,7.0
0.0,0,1,200.0,4.0
0.0,0,0,200.0,251.0
0.0,0,0,200.0,251.0
0.0,0,1,200.0,11.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,6.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,4.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,3.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,2.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
0.0,0,1,200.0,1.0
