Reward,No cash trade,No stock trade,Net worth end game
-356.2237129211426,10,15,213.77628707885742
-265.10991287231445,6,7,209.89008712768555
-241.82855224609375,2,2,208.17144775390625
-282.77115631103516,3,3,202.22884368896487
-224.92334365844727,1,3,210.07665634155273
-258.423152923584,8,2,211.57684707641602
-284.23936462402344,5,1,220.76063537597656
-254.075927734375,5,2,210.924072265625
-237.47319412231442,5,3,212.52680587768558
-227.03882217407227,1,2,207.96117782592773
-253.41497802734378,8,4,221.58502197265622
-207.44938278198242,6,5,222.55061721801758
-220.25893783569336,4,0,229.74106216430664
-202.03246688842773,3,2,217.96753311157227
-180.93923568725586,1,2,214.06076431274414
-247.3211135864258,5,2,227.6788864135742
-207.3427200317383,6,3,222.6572799682617
-229.54537582397452,15,0,245.45462417602548
-253.6461639404297,6,0,221.3538360595703
-186.90982055664065,7,2,213.09017944335935
-197.68798828124997,4,0,212.31201171875003
-153.07547760009768,7,0,226.92452239990232
-144.72676849365237,8,1,225.27323150634763
-197.66366195678708,3,3,227.33633804321292
-247.3506317138672,4,1,217.6493682861328
-162.0177230834961,2,1,227.9822769165039
-182.27487564086914,3,0,217.72512435913086
-172.64857101440427,3,2,217.35142898559573
-234.4050064086914,9,4,215.5949935913086
-184.53620529174805,4,1,220.46379470825195
-175.62587356567383,4,0,219.37412643432617
-249.49602127075192,10,0,220.50397872924808
-223.26666259765625,4,0,221.73333740234375
-195.49554443359384,5,1,214.50445556640616
-203.08809280395505,4,0,236.91190719604495
-275.8664093017578,13,1,219.1335906982422
-184.0994415283203,1,0,215.9005584716797
-284.16512298583984,13,3,215.83487701416013
-222.39001846313477,9,1,227.60998153686523
-168.7475204467773,7,1,236.2524795532227
-197.9263572692871,6,0,227.0736427307129
-254.6980743408203,7,1,220.3019256591797
-244.99464035034177,8,1,225.00535964965823
-162.33066940307617,5,0,222.66933059692383
-244.8202133178711,6,0,220.1797866821289
-229.27318191528317,13,0,220.72681808471683
-171.20739746093747,2,2,223.79260253906253
-230.57821655273432,9,3,209.42178344726568
-207.50787353515628,6,0,222.49212646484372
-226.17191696166992,9,0,218.82808303833008
-215.98033142089844,9,0,234.01966857910156
-197.71751403808594,7,2,217.28248596191406
-244.53561019897464,8,0,225.46438980102536
-200.80397033691406,6,0,214.19602966308594
-217.703857421875,6,1,222.296142578125
-227.5343475341797,4,1,217.4656524658203
-159.76379776000977,6,3,220.23620223999023
-209.81698226928714,9,0,220.18301773071286
-290.6180191040039,6,2,219.3819808959961
-216.36976623535156,2,1,223.63023376464844
-257.8304748535156,7,3,207.16952514648438
-257.19171142578125,8,3,227.80828857421875
-236.02196884155268,15,0,228.97803115844732
-167.64258193969727,2,2,227.35741806030273
-205.22754287719727,8,0,214.77245712280273
-189.2812652587891,4,0,220.7187347412109
-203.1147003173828,7,0,226.8852996826172
-214.5810737609863,9,0,220.4189262390137
-141.48233795166013,4,0,218.51766204833987
-140.09092330932617,5,2,219.90907669067383
-225.37630462646484,7,0,209.62369537353516
-207.3129463195801,6,2,207.6870536804199
-257.5814018249512,2,1,202.4185981750488
-219.64860153198242,5,1,220.35139846801758
-239.35838699340815,3,0,210.64161300659185
-196.70935821533203,6,1,213.29064178466797
-205.30429077148438,7,1,209.69570922851562
-170.6753387451172,7,1,214.3246612548828
-207.9119567871094,4,1,212.0880432128906
-223.47400283813477,8,0,206.52599716186523
-176.71308135986328,8,0,228.28691864013672
-215.9201354980468,5,1,204.0798645019532
-254.2751350402832,7,1,210.7248649597168
-153.42287826538083,2,1,231.57712173461917
-261.01193618774414,7,4,213.98806381225583
-199.74387741088867,5,2,215.25612258911133
-196.66112899780273,3,2,208.33887100219727
-215.3030128479004,4,2,224.6969871520996
-205.193344116211,8,0,224.806655883789
-187.6837005615235,3,1,217.3162994384765
-242.48787689208987,15,0,232.51212310791013
-220.05798339843759,7,1,214.94201660156241
-254.82409286499026,3,0,225.17590713500974
-214.98044204711914,6,1,220.01955795288086
-208.71730041503903,5,0,221.28269958496097
-177.15399169921878,4,3,237.84600830078122
-215.7795448303222,7,1,214.2204551696778
-249.44521331787112,8,1,220.55478668212888
-215.50733947753912,7,0,224.49266052246088
-181.45307159423825,3,1,218.54692840576175
-166.63261032104492,2,0,218.36738967895508
-234.08346557617188,5,1,215.91653442382812
-156.86568069458008,0,0,223.13431930541992
-217.046272277832,9,3,222.953727722168
-163.50523757934567,8,0,226.49476242065433
-256.1841926574707,18,0,223.8158073425293
-194.5660514831543,7,0,220.4339485168457
-162.31780242919928,6,0,227.68219757080072
-252.77975082397464,10,0,222.22024917602536
-176.70862579345695,2,0,213.29137420654305
-172.36847686767578,11,0,222.63152313232422
-222.0008430480957,3,0,217.9991569519043
-179.72830963134766,1,2,220.27169036865234
-216.0569801330566,5,0,228.9430198669434
-160.01966476440427,4,0,234.98033523559573
-216.94274520874026,8,0,218.05725479125974
-131.43896484375003,3,0,228.56103515624997
-179.33173751831055,9,0,225.66826248168945
-173.0223083496094,5,2,236.9776916503906
-193.94173812866217,9,0,226.05826187133783
-180.25957489013672,8,0,229.74042510986328
-200.26183319091797,4,2,224.73816680908203
-241.5803451538086,7,3,223.4196548461914
-204.4159927368164,8,0,225.5840072631836
-217.40071868896484,11,0,217.59928131103516
-219.50307464599612,6,0,230.49692535400388
-235.59061431884766,9,0,229.40938568115234
-238.1900405883789,8,0,221.8099594116211
-154.72401046752927,5,0,220.27598953247073
-195.2088356018066,9,1,214.7911643981934
-206.96640396118167,8,0,223.03359603881833
-222.4506950378418,9,1,227.5493049621582
-185.18706130981448,11,3,224.81293869018552
-217.77560806274408,10,0,217.22439193725592
-206.18568038940427,7,0,213.81431961059573
-182.60873413085935,12,0,227.39126586914065
-233.7741622924805,14,0,216.2258377075195
-246.19882583618164,12,4,228.80117416381836
-248.77283096313477,10,0,231.22716903686523
-168.5024375915527,12,2,226.4975624084473
-235.94742202758786,18,1,224.05257797241214
-132.03852844238287,2,0,232.96147155761713
-274.7387466430664,16,1,225.26125335693362
-201.13116455078128,7,0,238.86883544921872
-189.68663406372076,6,1,220.31336593627924
-196.82858657836914,10,0,218.17141342163086
-157.43225479125982,4,0,227.56774520874018
-126.48675537109375,0,1,208.51324462890625
-280.0504264831543,5,0,219.94957351684567
-158.45377731323242,6,0,231.54622268676758
-170.85356140136722,8,0,229.14643859863278
-149.58861541748044,8,0,225.41138458251956
-208.08175659179688,8,0,226.91824340820312
-163.09479522705075,5,1,211.90520477294925
-162.59371948242193,3,0,227.40628051757807
-147.72794723510748,4,1,227.27205276489252
-206.4701881408691,10,0,223.5298118591309
-202.5263786315918,4,0,222.4736213684082
-219.66178894042972,4,1,230.33821105957028
-176.43593215942388,5,0,228.56406784057612
-152.78586959838867,5,2,222.21413040161133
-149.7043304443359,5,1,230.2956695556641
-125.26533126831052,4,1,214.73466873168948
-155.16464233398435,4,0,214.83535766601565
-123.2120170593262,4,0,216.7879829406738
-233.66292572021484,15,1,206.33707427978516
-168.5353050231934,5,0,221.4646949768066
-211.37480163574222,7,1,223.62519836425778
-159.28717041015625,8,0,220.71282958984375
-225.0507965087891,8,0,224.9492034912109
-196.59374237060547,10,4,223.40625762939453
-210.14469528198242,8,0,219.85530471801758
-171.36292648315427,3,3,233.63707351684573
-217.61196899414068,1,3,217.38803100585932
-216.630973815918,8,2,223.369026184082
-169.3195877075195,9,1,225.6804122924805
-182.79361724853518,2,0,227.20638275146482
-210.38304901123047,4,1,209.61695098876953
-185.18839263916016,15,0,219.81160736083984
-138.38373565673828,1,1,226.61626434326172
-170.23332977294922,3,1,214.76667022705078
-206.56213378906247,4,2,218.43786621093753
-145.7583236694336,1,1,214.2416763305664
-145.49076461791995,8,0,224.50923538208005
-180.88085174560547,8,0,229.11914825439453
-160.77956390380854,5,1,239.22043609619146
-281.3418426513672,10,1,208.6581573486328
-253.01529312133792,3,3,211.98470687866208
-194.33410644531256,2,3,230.66589355468744
-224.7516174316406,6,0,215.2483825683594
-193.9227638244629,12,1,226.0772361755371
-182.63481140136716,3,1,212.36518859863284
-201.0932426452637,8,0,223.9067573547363
-161.89982604980472,5,0,223.10017395019528
-162.57520675659177,6,1,227.42479324340823
-229.28355026245117,18,0,225.71644973754883
-176.75272369384768,6,0,228.24727630615232
-161.46527481079102,5,1,223.53472518920898
-166.77255630493164,5,0,218.22744369506836
-193.76751708984378,4,0,226.23248291015622
-186.82754135131836,1,1,218.17245864868164
-206.46865844726562,4,0,213.53134155273438
-207.0620460510254,7,1,227.9379539489746
-212.38491821289062,3,2,207.61508178710938
-185.1665077209473,6,0,224.8334922790527
-199.56992340087896,8,0,225.43007659912104
-206.42007064819342,11,0,228.57992935180658
-196.81780242919925,9,1,223.18219757080075
-161.44803619384768,8,1,233.55196380615232
-176.1700782775879,6,1,223.8299217224121
-178.09513854980472,5,0,231.90486145019528
-161.3516235351562,5,0,228.6483764648438
-186.40918731689456,4,1,228.59081268310544
-179.93335723876947,5,1,220.06664276123053
-173.15771484375,4,2,231.84228515625
-180.8541564941407,5,3,224.1458435058593
-241.52503967285156,17,0,223.47496032714844
-205.04044723510742,16,0,229.95955276489258
-181.0850257873535,3,0,218.9149742126465
-214.59626388549808,2,2,230.40373611450192
-140.4237289428711,1,1,219.5762710571289
-178.2046775817871,2,2,216.7953224182129
-214.36466979980472,10,0,225.63533020019528
-162.4695777893066,4,2,207.5304222106934
-197.3475341796875,7,1,217.6524658203125
-164.16118240356442,4,3,225.83881759643558
-195.39163589477536,8,0,224.60836410522464
-187.35022735595703,2,0,217.64977264404297
-191.17915725708016,7,0,218.82084274291984
-185.8011169433594,15,0,224.1988830566406
-176.45238113403312,6,0,228.54761886596688
-204.3529434204101,9,1,215.6470565795899
-200.62893295288086,9,0,224.37106704711914
-194.24994659423822,10,1,220.75005340576178
-208.59181976318365,1,0,221.40818023681635
-176.63059616088867,2,0,218.36940383911133
-139.62479019165036,7,1,230.37520980834964
-252.8609809875488,13,0,227.1390190124512
-204.00214767456052,8,0,220.99785232543948
-262.86316299438477,10,2,217.13683700561523
-190.37409210205075,4,1,229.62590789794925
-227.17483520507812,10,0,232.82516479492188
-94.21449661254886,3,2,235.78550338745114
-191.04170608520513,5,2,218.95829391479487
-235.35661697387695,7,0,219.64338302612305
-154.75664520263672,3,1,220.24335479736328
-205.65119552612308,2,1,224.34880447387692
-177.45904541015622,7,0,232.54095458984378
-180.85911178588864,4,0,214.14088821411136
-177.4161033630371,8,1,217.5838966369629
-190.73107528686523,10,0,229.26892471313477
-154.54136657714844,1,3,215.45863342285156
-151.71792984008792,3,2,228.28207015991208
-160.10819625854495,1,3,224.89180374145505
