Reward,No cash trade,No stock trade,Net worth end game
18.451873779296875,54,0,218.45187377929688
19.87053680419922,30,0,219.87053680419922
17.143585205078182,33,1,217.14358520507818
11.980407714843693,48,1,211.9804077148437
11.974407196044922,29,28,211.97440719604492
11.30194091796875,38,18,211.30194091796875
10.672042846679688,22,51,210.6720428466797
24.32856750488284,17,0,224.32856750488284
8.887046813964844,21,34,208.88704681396484
2.9803543090820312,24,63,202.98035430908203
12.480461120605469,29,25,212.48046112060547
19.222755432128906,32,9,219.2227554321289
6.150608062744084,48,19,206.15060806274408
14.500129699707031,29,38,214.50012969970703
15.89520263671875,16,33,215.89520263671875
25.315704345703153,23,0,225.31570434570315
28.04118728637698,22,0,228.04118728637698
19.378402709960966,24,49,219.37840270996097
12.756134033203125,31,66,212.75613403320312
17.666919708251953,18,31,217.66691970825195
37.28617477416981,39,0,237.2861747741698
37.463294982910156,67,0,237.46329498291016
28.641700744628935,65,2,228.64170074462893
28.863265991210994,67,7,228.863265991211
13.634750366210909,52,38,213.6347503662109
30.518585205078153,103,6,230.51858520507815
8.029922485351562,49,57,208.02992248535156
29.001388549804716,67,27,229.00138854980472
39.37644958496094,48,0,239.37644958496094
25.029170989990234,111,1,225.02917098999023
40.985725402832,57,0,240.985725402832
12.76186752319336,27,6,212.76186752319336
37.65121841430664,54,1,237.65121841430664
16.455257415771484,55,0,216.45525741577148
37.12583541870117,44,1,237.12583541870117
32.971366882324105,98,1,232.9713668823241
28.663551330566378,126,0,228.66355133056638
30.987319946289062,61,2,230.98731994628906
40.84536361694336,60,0,240.84536361694336
24.326324462890625,146,0,224.32632446289062
28.488861083984375,67,0,228.48886108398438
20.18878936767581,29,0,220.1887893676758
13.921257019042969,38,1,213.92125701904297
23.592994689941406,40,0,223.5929946899414
19.287776947021484,23,23,219.28777694702148
19.903572082519503,19,24,219.9035720825195
16.602252960205078,12,12,216.60225296020508
14.783943176269531,17,10,214.78394317626953
0.12766265869143467,51,2,200.12766265869143
24.971942901611328,16,24,224.97194290161133
38.05587768554679,15,7,238.0558776855468
29.253070831298686,84,0,229.2530708312987
30.088573455810547,56,1,230.08857345581055
27.780765533447294,74,1,227.7807655334473
14.774047851562472,28,40,214.77404785156247
34.00302886962888,23,3,234.00302886962888
39.29742431640628,115,0,239.29742431640628
29.23212432861331,109,1,229.2321243286133
36.93679428100589,47,44,236.9367942810059
35.082576751708984,106,0,235.08257675170898
42.79879379272464,125,0,242.79879379272464
24.216407775878906,128,0,224.2164077758789
27.761798858642578,98,0,227.76179885864258
26.28864288330081,97,0,226.2886428833008
27.772201538085966,100,0,227.77220153808597
7.226161956787081,45,11,207.22616195678708
19.853199005126953,39,23,219.85319900512695
14.094841003417969,24,18,214.09484100341797
10.377941131591797,17,4,210.3779411315918
31.01607894897461,13,23,231.0160789489746
15.920536041259766,25,5,215.92053604125977
24.779483795166016,10,3,224.77948379516602
31.215648651123047,30,7,231.21564865112305
16.35755157470703,15,4,216.35755157470703
17.309703826904325,24,1,217.30970382690433
19.764862060546875,18,7,219.76486206054688
17.30535888671875,23,4,217.30535888671875
14.449893951416016,20,3,214.44989395141602
18.583675384521428,14,1,218.58367538452143
30.489810943603516,31,2,230.48981094360352
18.066131591796875,29,2,218.06613159179688
36.76148986816412,114,0,236.76148986816412
29.43932342529297,105,1,229.43932342529297
31.954181671142578,127,2,231.95418167114258
27.051971435546932,146,0,227.05197143554693
21.06614685058588,101,1,221.06614685058588
16.712825775146513,49,1,216.7128257751465
24.80698013305664,22,35,224.80698013305664
24.046226501464844,29,0,224.04622650146484
30.447757720947266,23,11,230.44775772094727
33.013717651367216,22,0,233.01371765136722
22.836349487304688,49,15,222.8363494873047
12.856513977050838,24,21,212.85651397705084
23.775714874267578,56,0,223.77571487426758
24.223411560058622,82,2,224.22341156005862
37.297767639160185,83,0,237.29776763916018
36.58895111083987,137,0,236.58895111083987
37.77231216430664,78,1,237.77231216430664
36.78275680541989,134,0,236.7827568054199
24.22146224975586,94,2,224.22146224975586
29.942947387695312,152,0,229.9429473876953
30.068817138671932,130,0,230.06881713867193
29.07668685913086,153,0,229.07668685913086
31.7332572937012,113,1,231.7332572937012
38.43665313720703,130,0,238.43665313720703
20.6910209655762,116,22,220.6910209655762
25.733848571777344,121,1,225.73384857177734
28.7165908813476,134,0,228.7165908813476
31.66584396362296,110,0,231.66584396362296
33.235702514648494,117,5,233.2357025146485
40.30385208129883,115,0,240.30385208129883
31.275474548339815,119,1,231.27547454833982
16.52726364135745,92,0,216.52726364135745
31.246860504150447,49,20,231.24686050415045
18.066703796386747,93,17,218.06670379638675
28.663818359375,132,0,228.663818359375
26.70273208618164,139,1,226.70273208618164
